index,score,threshold,prediction,attack
5,31510.052734375,45.028438568115234,1,0
6,31484.859375,45.028438568115234,1,0
7,31488.693359375,45.028438568115234,1,0
8,31382.60546875,45.028438568115234,1,0
9,31334.818359375,45.028438568115234,1,0
10,31277.00390625,45.028438568115234,1,0
11,31275.93359375,45.028438568115234,1,0
12,31217.990234375,45.028438568115234,1,0
13,31195.87890625,45.028438568115234,1,0
14,31179.7890625,45.028438568115234,1,0
15,31096.431640625,45.028438568115234,1,0
16,31058.078125,45.028438568115234,1,0
17,31032.294921875,45.028438568115234,1,0
18,31036.830078125,45.028438568115234,1,0
19,31025.599609375,45.028438568115234,1,0
20,31010.388671875,45.028438568115234,1,0
21,30997.23828125,45.028438568115234,1,0
22,30957.92578125,45.028438568115234,1,0
23,30968.11328125,45.028438568115234,1,0
24,30970.421875,45.028438568115234,1,0
25,30968.978515625,45.028438568115234,1,0
26,30966.626953125,45.028438568115234,1,0
27,30933.267578125,45.028438568115234,1,0
28,30902.677734375,45.028438568115234,1,0
29,30785.64453125,45.028438568115234,1,0
30,30736.03125,45.028438568115234,1,0
31,30668.0703125,45.028438568115234,1,0
32,30645.48828125,45.028438568115234,1,0
33,30628.1171875,45.028438568115234,1,0
34,30644.3671875,45.028438568115234,1,0
35,30616.966796875,45.028438568115234,1,0
36,30602.9609375,45.028438568115234,1,0
37,30600.830078125,45.028438568115234,1,0
38,30607.220703125,45.028438568115234,1,0
39,30599.91796875,45.028438568115234,1,0
40,50043.6484375,45.028438568115234,1,0
41,34697.44140625,45.028438568115234,1,0
42,31380.16796875,45.028438568115234,1,0
43,31364.90625,45.028438568115234,1,0
44,31200.107421875,45.028438568115234,1,0
45,31189.44921875,45.028438568115234,1,0
46,31148.8125,45.028438568115234,1,0
47,31153.48046875,45.028438568115234,1,0
48,31142.001953125,45.028438568115234,1,0
49,31134.5703125,45.028438568115234,1,0
50,31117.578125,45.028438568115234,1,1
51,31099.904296875,45.028438568115234,1,1
52,31075.62890625,45.028438568115234,1,1
53,31053.0390625,45.028438568115234,1,1
54,31041.52734375,45.028438568115234,1,1
55,30960.76171875,45.028438568115234,1,1
56,30909.556640625,45.028438568115234,1,0
57,30872.580078125,45.028438568115234,1,0
58,30887.373046875,45.028438568115234,1,0
59,30884.6015625,45.028438568115234,1,0
60,30866.345703125,45.028438568115234,1,0
61,30855.759765625,45.028438568115234,1,0
62,30845.63671875,45.028438568115234,1,0
63,30857.314453125,45.028438568115234,1,0
64,30859.3515625,45.028438568115234,1,0
65,30861.408203125,45.028438568115234,1,1
66,30848.41796875,45.028438568115234,1,1
67,30786.8125,45.028438568115234,1,1
68,30757.390625,45.028438568115234,1,1
69,30735.44140625,45.028438568115234,1,1
70,30740.8984375,45.028438568115234,1,1
71,30742.328125,45.028438568115234,1,1
72,30745.806640625,45.028438568115234,1,0
73,30743.734375,45.028438568115234,1,0
74,30743.021484375,45.028438568115234,1,0
75,30777.123046875,45.028438568115234,1,0
76,30796.634765625,45.028438568115234,1,0
77,30733.802734375,45.028438568115234,1,0
78,30704.8515625,45.028438568115234,1,0
79,30661.8671875,45.028438568115234,1,0
80,30663.259765625,45.028438568115234,1,0
81,30657.64453125,45.028438568115234,1,1
82,30655.3515625,45.028438568115234,1,1
83,30651.53125,45.028438568115234,1,1
