dataset,part,rows,columns,positive_labels
test_all_signal,normal_valid,60,44,0
test_all_signal,fault_cpu_frontend,100,44,20
test_all_signal,fault_mem_recommendation,100,44,20
test_all_signal,fault_delay_cart_repeat_500ms,80,44,34
test_all_signal,fault_kill_product_repeat,80,44,12
test_all_signal,test_all_signal,420,44,86
test_no_delay_signal,normal_valid,60,44,0
test_no_delay_signal,fault_cpu_frontend,100,44,20
test_no_delay_signal,fault_mem_recommendation,100,44,20
test_no_delay_signal,fault_kill_product_repeat,80,44,12
test_no_delay_signal,test_no_delay_signal,340,44,52
test_cpu_frontend_signal,normal_valid,60,44,0
test_cpu_frontend_signal,fault_cpu_frontend,100,44,20
test_cpu_frontend_signal,test_cpu_frontend_signal,160,44,20
test_mem_recommendation_signal,normal_valid,60,44,0
test_mem_recommendation_signal,fault_mem_recommendation,100,44,20
test_mem_recommendation_signal,test_mem_recommendation_signal,160,44,20
test_delay_cart_repeat_500ms_signal,normal_valid,60,44,0
test_delay_cart_repeat_500ms_signal,fault_delay_cart_repeat_500ms,80,44,34
test_delay_cart_repeat_500ms_signal,test_delay_cart_repeat_500ms_signal,140,44,34
test_kill_product_repeat_signal,normal_valid,60,44,0
test_kill_product_repeat_signal,fault_kill_product_repeat,80,44,12
test_kill_product_repeat_signal,test_kill_product_repeat_signal,140,44,12
